title,year,summary,source_url
The Emu War,1932,Australia deployed soldiers with machine guns against roughly 20000 emus and effectively lost.,https://en.wikipedia.org/wiki/Emu_War
War of the Oaken Bucket,1325,Modena and Bologna went to war over a stolen wooden bucket; thousands died and Modena kept the bucket.,https://en.wikipedia.org/wiki/War_of_the_Bucket
The Cadaver Synod,897,Pope Stephen VI exhumed his predecessor's corpse and put it on trial in full papal vestments.,https://en.wikipedia.org/wiki/Cadaver_Synod
Great Molasses Flood,1919,A storage tank burst in Boston sending a wave of molasses through the streets at high speed.,https://en.wikipedia.org/wiki/Great_Molasses_Flood
Defenestrations of Prague,1618,Officials were thrown out of a castle window and survived by landing in a heap of manure.,https://en.wikipedia.org/wiki/Defenestrations_of_Prague
War of Jenkins' Ear,1739,A war between Britain and Spain nominally triggered by a severed ear presented to Parliament.,https://en.wikipedia.org/wiki/War_of_Jenkins%27_Ear
The Dancing Plague of 1518,1518,Hundreds of people in Strasbourg danced uncontrollably for weeks and some reportedly died of exhaustion.,https://en.wikipedia.org/wiki/Dancing_plague_of_1518
The Kettle War,1784,A conflict between Austria and the Dutch Republic in which the only casualty was a soup kettle.,https://en.wikipedia.org/wiki/Kettle_War
The Pastry War,1838,France invaded Mexico partly over a French pastry chef's damaged shop and unpaid compensation claim.,https://en.wikipedia.org/wiki/Pastry_War
Medieval animal trials,1522,European courts formally prosecuted animals including rats and pigs with defence lawyers appointed.,https://en.wikipedia.org/wiki/Animal_trial
The Great Stork Derby,1926,A Toronto lawyer's will left his fortune to whichever woman bore the most children in ten years.,https://en.wikipedia.org/wiki/Great_Stork_Derby
The Berners Street Hoax,1810,Theodore Hook won a bet by having thousands of tradesmen and dignitaries converge on one London address.,https://en.wikipedia.org/wiki/Berners_Street_hoax
Tulip Mania,1637,Dutch speculators drove single tulip bulb prices above the cost of a house before the market collapsed.,https://en.wikipedia.org/wiki/Tulip_mania
The London Beer Flood,1814,A vat ruptured at a brewery releasing an enormous wave of porter into surrounding streets.,https://en.wikipedia.org/wiki/London_Beer_Flood
Operation Acoustic Kitty,1967,The CIA surgically implanted listening equipment in a cat to spy on Soviet officials.,https://en.wikipedia.org/wiki/Acoustic_Kitty
The Bat Bomb,1942,The US developed a plan to attach incendiary devices to bats and release them over Japan.,https://en.wikipedia.org/wiki/Bat_bomb
Project Habakkuk,1942,Britain seriously pursued building an aircraft carrier out of reinforced ice.,https://en.wikipedia.org/wiki/Project_Habakkuk
The Tanganyika laughter epidemic,1962,A contagious outbreak of laughter closed schools and spread across villages for months.,https://en.wikipedia.org/wiki/Tanganyika_laughter_epidemic
Wojtek the soldier bear,1942,A bear was formally enlisted in the Polish army and carried ammunition at Monte Cassino.,https://en.wikipedia.org/wiki/Wojtek_(bear)
The Great Chicago Fire cow myth,1871,A cow was blamed for starting a catastrophic fire on evidence a reporter later admitted inventing.,https://en.wikipedia.org/wiki/Great_Chicago_Fire
Isaac Newton and the South Sea Bubble,1720,The greatest scientific mind of the age lost a fortune speculating and said he could not calculate human madness.,https://en.wikipedia.org/wiki/South_Sea_Company
The Pig War,1859,Britain and America came to the brink of war over the shooting of a single pig on San Juan Island.,https://en.wikipedia.org/wiki/Pig_War
Hannibal's vinegar rocks,218,Ancient accounts claim Hannibal split Alpine boulders by heating them and dousing them in vinegar.,https://en.wikipedia.org/wiki/Hannibal
The Anglo-Zanzibar War,1896,The shortest war in recorded history lasted approximately 38 minutes.,https://en.wikipedia.org/wiki/Anglo-Zanzibar_War
Caligula's war on Neptune,40,The emperor reportedly ordered his troops to attack the sea and collect seashells as spoils.,https://en.wikipedia.org/wiki/Caligula
Poon Lim's survival raft,1942,A steward survived 133 days alone on a raft and the Royal Navy said it was a record he hoped no one would break.,https://en.wikipedia.org/wiki/Poon_Lim
Peter the Great's beard tax,1698,Peter the Great taxed beards and issued tokens proving the bearer had paid to keep his.,https://en.wikipedia.org/wiki/Beard_tax
The Radium Craze,1920,Radioactive material was marketed in toothpaste water and suppositories as a health tonic.,https://en.wikipedia.org/wiki/Radioactive_quackery
Goat testicle transplants,1918,John Brinkley built a fortune implanting goat glands in men and nearly won a governorship.,https://en.wikipedia.org/wiki/John_R._Brinkley
The Cottingley Fairies,1917,Two girls fooled Arthur Conan Doyle with cardboard fairy cutouts photographed in a garden.,https://en.wikipedia.org/wiki/Cottingley_Fairies
The Turk chess automaton,1770,A chess-playing machine astonished Europe for decades while concealing a human operator inside.,https://en.wikipedia.org/wiki/Mechanical_Turk
Phineas Gage's iron bar,1848,A railway worker survived an iron rod passing through his skull and walked away talking.,https://en.wikipedia.org/wiki/Phineas_Gage
The Boston Molasses trial,1920,The subsequent court case ran for years and helped establish modern engineering liability standards.,https://en.wikipedia.org/wiki/Great_Molasses_Flood
Tycho Brahe's prosthetic nose,1566,The astronomer lost part of his nose in a duel over a mathematics disagreement and wore a metal replacement.,https://en.wikipedia.org/wiki/Tycho_Brahe
The Great Sparrow Campaign,1958,China ordered the extermination of sparrows which caused locust swarms and contributed to famine.,https://en.wikipedia.org/wiki/Four_Pests_campaign
Cane toads in Australia,1935,Toads introduced to eat beetles ignored the beetles entirely and became a worse plague themselves.,https://en.wikipedia.org/wiki/Cane_toads_in_Australia
The Halifax Gibbet and Yorkshire law,1650,Local custom permitted execution for theft above a set value leading to precise haggling over prices.,https://en.wikipedia.org/wiki/Halifax_Gibbet
Nikola Tesla's pigeon,1920,The inventor declared he was genuinely in love with a specific white pigeon.,https://en.wikipedia.org/wiki/Nikola_Tesla
The Voynich Manuscript,1420,A book nobody has ever been able to read has consumed the careers of expert cryptographers.,https://en.wikipedia.org/wiki/Voynich_manuscript
The Diet of Worms,1521,A pivotal moment of the Reformation was held at an assembly whose name reliably amuses English speakers.,https://en.wikipedia.org/wiki/Diet_of_Worms
Lord Byron's pet bear,1805,Told he could not keep a dog at Cambridge Byron enrolled a tame bear instead as no rule forbade it.,https://en.wikipedia.org/wiki/Lord_Byron
The Molasses Act smuggling,1733,A tax so widely ignored that smuggling became the respectable default across the colonies.,https://en.wikipedia.org/wiki/Molasses_Act
Sweden's Vasa warship,1628,A magnificent warship sank about 1300 metres into its maiden voyage because it was too top-heavy.,https://en.wikipedia.org/wiki/Vasa_(ship)
